name,ptName,url,image,imagePath
Black Cat - Halloween Kitten As A Vampire - Horror,Women’s Organic T-Shirt,www.spreadshirt.com/shop/design/-D610d12d8897fe411f77da710?sellable=bBB4z30Bv8srBjgDdVDL-1351-8,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T1351A2MPA3246PT17X35Y38D1040518535FS2187/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",610d12d8897fe411f77da710.jpg
Black Japanese Anime Cat Kawaii Cat Lover Cute Nek,Women's Vintage Sport T-Shirt,www.spreadshirt.com/shop/design/-D610d09c169b90312ad766920?sellable=Y55YbdxOxnhDm3vbzGjD-1172-8,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T1172A70MPA3563PT17X36Y38D1040518171FS2187/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",610d09c169b90312ad766920.jpg
Baby Dragon,Men's V-Neck T-Shirt,www.spreadshirt.com/shop/design/-D60ff17bc38da2f2ad2d706e9?sellable=3000OG9AaaHyaLzqbDvJ-686-12,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T686A229MPA3026PT17X53Y47D1040323577FS6151/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",60ff17bc38da2f2ad2d706e9.jpg
take it slow,Women’s Organic T-Shirt,www.spreadshirt.com/shop/design/-D60f771b72a33e2124c2ec1c9?sellable=OwwA3wQv54tZjD9ZBoRD-1351-8,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T1351A1MPA3246PT17X35Y38D1040219577FS2187/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",60f771b72a33e2124c2ec1c9.jpg
all you need is coffee and meow,Men's T-Shirt,www.spreadshirt.com/shop/design/-D60fe85572a33e2124c02fccc?sellable=N000GmoRmNIl8QGnbbbe-210-7,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T210A1MPA3176PT17X49Y5D1040315351FS4606/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",60fe85572a33e2124c02fccc.jpg
Halloween Campers #4,Women's Plus Size T-Shirt,www.spreadshirt.com/shop/design/-D60fd60ba15d70d1de1a94a3c?sellable=MLLp0Zy2kNhqeklRZvQA-1260-8,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T1260A1MPA3611PT17X77Y37D1040299338FS1319/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",60fd60ba15d70d1de1a94a3c.jpg
"Help, I've Been Eaten By a Pink Land Shark",Unisex Baseball T-Shirt,www.spreadshirt.com/shop/design/-D6106da3639505059a273fdb3?sellable=1nnEl9xNeNSxG5YJAOd2-951-18,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T951A54MPA3076PT17X14Y57D1040430387FS1576/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",6106da3639505059a273fdb3.jpg
I Hate People Cat,Unisex Baseball T-Shirt,www.spreadshirt.com/shop/design/-D610565e139505059a2165161?sellable=wQQG7k3AOnFGO20bNEqJ-951-19,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T951A54MPA3076PT17X4Y4D1040414120FS2539/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",610565e139505059a2165161.jpg
Anime and Cat Girl Japanese Otaku Manga Japan,Women's Tri-Blend V-Neck T-Shirt,www.spreadshirt.com/shop/design/-D61091d59a505633dd437505b?sellable=gnn4NjAd4GIblxp7LVzv-1038-13,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T1038A2MPA4105PT17X18Y28D1040462805FS2391/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",61091d59a505633dd437505b.jpg
Cat Camp Camping Camper Gift,Women's Curvy Vintage Sports T-Shirt,www.spreadshirt.com/shop/design/-D610d26b0ea46484b670cf63d?sellable=1nndyw75q1Hr1eNvnpd8-1416-8,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T1416A658MPA3747PT17X9Y0D1040519758FS3475/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",610d26b0ea46484b670cf63d.jpg
You've Cat To Be Kitten Me Right Meow,Women's Plus Size T-Shirt,www.spreadshirt.com/shop/design/-D61093e68cd4efe4addf42956?sellable=R448w0A2ElUx32OZY0L5-1260-8,"=IMAGE(""https://image.spreadshirtmedia.com/image-server/v1/mp/compositions/T1260A1MPA3611PT17X80Y37D1040464562FS1477/views/1,width=378,height=378,appearanceId=2,backgroundColor=000000,noPt=true.webp"")",61093e68cd4efe4addf42956.jpg
